Commodity,State,Market,Today Price,Last Week,Last Month,Last Year,Today Arrivals,Last Week,Last Month,Last Year
Bajra(Pearl Millet/Cumbu),Gujarat,Jasdan,2500 (Mx:3050 Mn:2000),2605 (Mx:3025 Mn:2000),2625 (Mx:2825 Mn:2000),-,0.4,1,0.4,-
Bajra(Pearl Millet/Cumbu),Gujarat,Kadi,2600 (Mx:2680 Mn:2585),2600 (Mx:2715 Mn:2565),2650 (Mx:2800 Mn:2455),-,4.3,4.5,3.9,-
Bajra(Pearl Millet/Cumbu),Gujarat,Khambhat(Grain Market),2425 (Mx:2750 Mn:2250),2425 (Mx:2750 Mn:2250),2425 (Mx:2750 Mn:2250),-,0.5,0.5,0.5,-
Bajra(Pearl Millet/Cumbu),Gujarat,Kodinar,2855 (Mx:3045 Mn:2250),2860 (Mx:2985 Mn:2330),-,-,7,5,-,-
Bajra(Pearl Millet/Cumbu),Gujarat,Mahuva(Station Road),2660 (Mx:3110 Mn:2205),3255 (Mx:4760 Mn:1750),2695 (Mx:3255 Mn:2130),-,3.3,13.7,11.5,-
Bajra(Pearl Millet/Cumbu),Gujarat,Mehsana,2650 (Mx:2765 Mn:2605),-,2400 (Mx:2400 Mn:2400),-,0.9,-,0.2,-
Bajra(Pearl Millet/Cumbu),Gujarat,Morbi,3065 (Mx:3065 Mn:3065),2740 (Mx:3140 Mn:2340),-,-,0.2,0.5,-,-
Bajra(Pearl Millet/Cumbu),Gujarat,Nizar(Kukarmuda),2150 (Mx:2265 Mn:2100),2100 (Mx:2265 Mn:1965),-,-,0.7,1.8,-,-
Bajra(Pearl Millet/Cumbu),Gujarat,Palanpur,2675 (Mx:2735 Mn:2615),2670 (Mx:2840 Mn:2500),2560 (Mx:2770 Mn:2350),-,5,9,9,-
Bajra(Pearl Millet/Cumbu),Gujarat,Palitana,2175 (Mx:2350 Mn:2000),2900 (Mx:3175 Mn:2625),2325 (Mx:2600 Mn:2050),-,0.38,0.7,0.8,-
Bajra(Pearl Millet/Cumbu),Gujarat,Panthawada,2850 (Mx:2850 Mn:2850),2750 (Mx:2855 Mn:2425),2600 (Mx:2760 Mn:2200),-,0.5,1.1,3.3,-
Bajra(Pearl Millet/Cumbu),Gujarat,Radhanpur,2656 (Mx:2720 Mn:2450),-,2450 (Mx:2625 Mn:2300),-,4.5,-,1.5,-
Bajra(Pearl Millet/Cumbu),Gujarat,Rajkot,2250 (Mx:2250 Mn:2250),2400 (Mx:2650 Mn:2250),2405 (Mx:2685 Mn:2075),-,0.2,4.5,1,-
Bajra(Pearl Millet/Cumbu),Gujarat,Rajula,2943 (Mx:3305 Mn:2580),2575 (Mx:3150 Mn:2000),2985 (Mx:3305 Mn:2665),-,1,2.8,3,-
Bajra(Pearl Millet/Cumbu),Gujarat,Sami,2375 (Mx:2500 Mn:2250),-,-,-,0.1,-,-,-
Bajra(Pearl Millet/Cumbu),Gujarat,Savarkundla,2838 (Mx:3175 Mn:2500),2665 (Mx:3330 Mn:2000),-,-,1,0.1,-,-
Bajra(Pearl Millet/Cumbu),Gujarat,Siddhpur,2732 (Mx:3010 Mn:2455),2807 (Mx:3165 Mn:2450),2602 (Mx:2955 Mn:2250),-,11.68,10.83,8.36,-
Bajra(Pearl Millet/Cumbu),Gujarat,Taleja,2660 (Mx:3065 Mn:2250),2585 (Mx:3075 Mn:2090),2500 (Mx:2940 Mn:2060),-,7.68,11.94,14.88,-
Bajra(Pearl Millet/Cumbu),Gujarat,Talod,3070 (Mx:3290 Mn:2850),3050 (Mx:3350 Mn:2750),2952 (Mx:3155 Mn:2750),-,25.3,30.6,23.3,-
Bajra(Pearl Millet/Cumbu),Gujarat,Thara,2772.5 (Mx:2875 Mn:2670),2785 (Mx:2845 Mn:2725),2685 (Mx:2820 Mn:2550),-,8.25,1.9,5.1,-
Bajra(Pearl Millet/Cumbu),Gujarat,Thara(Shihori),2587.5 (Mx:2680 Mn:2495),2622.5 (Mx:2700 Mn:2545),2507.5 (Mx:2760 Mn:2255),-,0.3,0.8,0.85,-
Bajra(Pearl Millet/Cumbu),Gujarat,Tharad,2815 (Mx:2922.5 Mn:2700),2757.5 (Mx:2877.5 Mn:2637.5),-,-,40.2,25.5,-,-
Bajra(Pearl Millet/Cumbu),Gujarat,Tharad(Rah),3000 (Mx:3025 Mn:2900),3000 (Mx:3100 Mn:2900),-,-,0.6,0.6,-,-
Bajra(Pearl Millet/Cumbu),Gujarat,Umreth,2770 (Mx:2775 Mn:2500),2770 (Mx:2775 Mn:2500),2715 (Mx:2725 Mn:2500),-,3,4,8.2,-
Bajra(Pearl Millet/Cumbu),Gujarat,Vadgam,2705 (Mx:2705 Mn:2705),2620 (Mx:2850 Mn:2390),2380 (Mx:2580 Mn:2195),-,0.6,2.5,1.4,-
Bajra(Pearl Millet/Cumbu),Gujarat,Visavadar,1965 (Mx:2205 Mn:1725),-,-,-,0.02,-,-,-
Bajra(Pearl Millet/Cumbu),Gujarat,Visnagar,2655 (Mx:2910 Mn:2400),2522 (Mx:2840 Mn:2205),2580 (Mx:2760 Mn:2400),-,10.4,11.1,8.6,-
Bajra(Pearl Millet/Cumbu),Karnataka,Bagalakot,2303 (Mx:2459 Mn:2240),2198 (Mx:2225 Mn:2175),-,-,38,5,-,-
Bajra(Pearl Millet/Cumbu),Karnataka,Bangalore,3200 (Mx:3400 Mn:3000),-,-,-,10,-,-,-
Bajra(Pearl Millet/Cumbu),Karnataka,Bijapur,2300 (Mx:2500 Mn:2100),-,-,-,4,-,-,-
Bajra(Pearl Millet/Cumbu),Karnataka,Kalburgi,2650 (Mx:2800 Mn:2100),-,-,-,1,-,-,-
Bajra(Pearl Millet/Cumbu),Karnataka,Kustagi,2100 (Mx:2100 Mn:2100),2420 (Mx:2420 Mn:2420),-,2370 (Mx:2370 Mn:2370),5,14,-,45
Bajra(Pearl Millet/Cumbu),Madhya Pradesh,Bhind,2502 (Mx:2502 Mn:2450),2388 (Mx:2459.5 Mn:2359),-,-,31,53.1,-,-
Bajra(Pearl Millet/Cumbu),Madhya Pradesh,Gohad,2465 (Mx:2465 Mn:2465),2445 (Mx:2445 Mn:2445),-,-,3.57,2.14,-,-
Bajra(Pearl Millet/Cumbu),Madhya Pradesh,Jora,2375 (Mx:2375 Mn:2350),2375 (Mx:2375 Mn:2360),-,-,66,31,-,-
Bajra(Pearl Millet/Cumbu),Madhya Pradesh,Morena,2496 (Mx:2500 Mn:2493),2480 (Mx:2486 Mn:2470),-,-,25.2,36,-,-
Bajra(Pearl Millet/Cumbu),Madhya Pradesh,Sabalgarh,2486 (Mx:2488 Mn:2450),2465 (Mx:2465 Mn:2430),-,-,68.8,85.4,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Amalner,2902 (Mx:2902 Mn:2000),3000 (Mx:3000 Mn:2300),-,-,2,3,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Ambad (Vadigodri),2770 (Mx:3000 Mn:1841),2813 (Mx:3230 Mn:2151),-,-,1.9,0.8,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Chalisgaon,2751 (Mx:3200 Mn:2100),2750 (Mx:3100 Mn:2251),-,-,4,10,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Chattrapati Sambhajinagar,2350 (Mx:2700 Mn:2000),2000 (Mx:2000 Mn:2000),-,-,0.7,1,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Devala,2300 (Mx:2300 Mn:2195),2505 (Mx:2505 Mn:2505),-,-,0.1,0.1,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Dhule,2500 (Mx:2950 Mn:2179),2341 (Mx:2950 Mn:2026),-,-,8.1,3.3,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Dondaicha,2461 (Mx:2526 Mn:2461),2311 (Mx:2341 Mn:2311),-,-,1.9,1.3,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Gangapur,2855 (Mx:2951 Mn:2700),2875 (Mx:2900 Mn:2101),2860 (Mx:2940 Mn:2650),-,2.3,2.6,3.2,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Jalana,2850 (Mx:2950 Mn:2040),2850 (Mx:3000 Mn:2300),-,-,13.6,12.7,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Kalyan,3150 (Mx:3300 Mn:3000),3175 (Mx:3350 Mn:3000),-,-,0.3,0.3,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Kannad,2838 (Mx:2925 Mn:2751),-,-,-,2.3,-,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Karjat,2500 (Mx:2800 Mn:2500),-,2500 (Mx:2700 Mn:2300),-,0.4,-,1,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Kopargaon,2400 (Mx:2400 Mn:2400),-,-,-,0.1,-,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Lasalgaon,2211 (Mx:2252 Mn:2101),2675 (Mx:2675 Mn:2675),-,-,1.1,1.5,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Lasalgaon(Niphad),2401 (Mx:2700 Mn:2401),2950 (Mx:3001 Mn:2950),-,-,0.6,1.1,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Lasur Station,2800 (Mx:2975 Mn:2101),-,2926 (Mx:3141 Mn:2250),-,8.5,-,16.5,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Majalgaon,3000 (Mx:4400 Mn:2400),2740 (Mx:2975 Mn:2500),-,-,5.5,1.5,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Malegaon,2700 (Mx:3100 Mn:2402),2671 (Mx:3111 Mn:2111),-,-,4,10.6,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Mumbai,3300 (Mx:3500 Mn:2900),3300 (Mx:3500 Mn:2900),3300 (Mx:3500 Mn:2900),-,60.5,84.8,50.8,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Nandgaon,2850 (Mx:3020 Mn:2400),2750 (Mx:3080 Mn:2300),-,-,0.7,0.8,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Nandurbar,2200 (Mx:2200 Mn:2200),-,-,-,0.1,-,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Pachora,2551 (Mx:2700 Mn:2400),-,-,-,12.5,-,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Paithan,2900 (Mx:2900 Mn:2900),2876 (Mx:2876 Mn:2876),-,2600 (Mx:2611 Mn:2550),0.1,0.3,-,3
Bajra(Pearl Millet/Cumbu),Maharashtra,Pune,3700 (Mx:4000 Mn:3400),3450 (Mx:3700 Mn:3200),-,-,43.6,44.3,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Rahata,2100 (Mx:2100 Mn:2100),-,-,-,0.6,-,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Ramdev Krushi Bazaar,2400 (Mx:2500 Mn:2300),-,-,-,1.16,-,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Sangli,3025 (Mx:3400 Mn:2650),3000 (Mx:3300 Mn:2700),-,-,10,20,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Shevgaon,2800 (Mx:2800 Mn:1800),-,2800 (Mx:2800 Mn:2800),2600 (Mx:2600 Mn:2600),1.3,-,0.5,1
Bajra(Pearl Millet/Cumbu),Maharashtra,Shevgaon(Bodhegaon),2500 (Mx:2500 Mn:2500),-,-,-,0.4,-,-,-
Bajra(Pearl Millet/Cumbu),Maharashtra,Shirur,2700 (Mx:2700 Mn:2700),-,-,-,0.1,-,-,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Bahror,2300 (Mx:2450 Mn:2200),-,2250 (Mx:2450 Mn:2100),-,2.5,-,8,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Bandikui(Geejgarh),2479 (Mx:2505 Mn:2454),-,-,-,18.7,-,-,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Bansoor,2600 (Mx:2630 Mn:2575),2585 (Mx:2600 Mn:2555),2600 (Mx:2640 Mn:2580),-,18.1,10,97.9,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Baran,2500 (Mx:2500 Mn:2500),-,-,-,7,-,-,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Barodamev,2500 (Mx:2749 Mn:2488),2480 (Mx:2630 Mn:2479),2470 (Mx:2473 Mn:2468),-,26.2,8.1,20.8,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Bassi,2548 (Mx:2667 Mn:2430),-,2522 (Mx:2650 Mn:2395),-,55,-,56,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Bayana,2500 (Mx:2600 Mn:2400),-,-,-,138,-,-,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Bhagat Ki Kothi,2590 (Mx:2680 Mn:2500),-,-,-,25,-,-,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Bharatpur,2640 (Mx:2835 Mn:2445),2630 (Mx:2850 Mn:2410),2593 (Mx:2805 Mn:2380),-,20,31,136,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Chaksu,2600 (Mx:2675 Mn:2500),-,2500 (Mx:2700 Mn:2400),-,30.6,-,116.4,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Chirawa,2490 (Mx:2490 Mn:2490),-,2500 (Mx:2500 Mn:2500),-,3.75,-,0.1,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Dausa,2606 (Mx:2781 Mn:2431),2572 (Mx:2731 Mn:2413),-,-,87.4,68,-,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Deeg,2420 (Mx:2420 Mn:2420),2405 (Mx:2415 Mn:2400),2401 (Mx:2440 Mn:2400),-,1.8,5,4.9,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Degana,2475 (Mx:2550 Mn:2400),2525 (Mx:2550 Mn:2500),2450 (Mx:2500 Mn:2400),-,18,22.7,12,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Deoli,2545 (Mx:2620 Mn:2470),2500 (Mx:2600 Mn:2400),2475 (Mx:2600 Mn:2350),-,2.4,1.3,12.2,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Dooni,2525 (Mx:2550 Mn:2500),2495 (Mx:2520 Mn:2470),2475 (Mx:2500 Mn:2450),-,3.5,9.4,9.5,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Dudu,2100 (Mx:2200 Mn:2000),2300 (Mx:2400 Mn:2200),-,-,0.2,0.3,-,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Gangapur City,2506 (Mx:2595 Mn:2421),-,2459 (Mx:2518 Mn:2400),-,22.5,-,22.1,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Hanumangarh Town,2466 (Mx:2525 Mn:2325),-,2481 (Mx:2511 Mn:2425),-,1.5,-,20,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Jhunjhunu,2500 (Mx:2500 Mn:2500),2600 (Mx:2600 Mn:2600),2500 (Mx:2500 Mn:2450),-,12.5,1.3,5.3,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Jodhpur (Grain),2600 (Mx:2800 Mn:2400),2600 (Mx:2800 Mn:2400),-,-,2.6,19.8,-,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Kama,2450 (Mx:2467 Mn:2445),2456 (Mx:2456 Mn:2456),2439 (Mx:2441 Mn:2435),-,6,2,36.5,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Kekri,2391 (Mx:2591 Mn:2300),-,2400 (Mx:2488 Mn:2355),-,5.1,-,26.5,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Kesarisinghpur,2500 (Mx:2500 Mn:2500),-,-,-,0.7,-,-,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Khairthal,2490 (Mx:2540 Mn:2450),-,2500 (Mx:2550 Mn:2450),-,52.8,-,85.3,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Kherli,2540 (Mx:2655 Mn:2438),2485 (Mx:2625 Mn:2450),2540 (Mx:2735 Mn:2480),-,29.5,58.4,94.1,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Kishan Renwal(Fulera),2625 (Mx:2650 Mn:2600),-,2525 (Mx:2550 Mn:2500),-,3.4,-,12.5,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Kishangarhbas,2490 (Mx:2540 Mn:2450),-,-,-,18.8,-,-,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Lalsot,2500 (Mx:2550 Mn:2150),2550 (Mx:2611 Mn:2400),-,-,16.3,40.6,-,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Madanganj Mandawar,2457 (Mx:2480 Mn:2441),2453 (Mx:2591 Mn:2425),2600 (Mx:2825 Mn:2421),-,12.4,12.6,65.2,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Mandawari,2560 (Mx:2640 Mn:2390),2570 (Mx:2670 Mn:2393),2570 (Mx:2700 Mn:2390),2150 (Mx:2216 Mn:2084),63,34,37,9.5
Bajra(Pearl Millet/Cumbu),Rajasthan,Nadwai,2446 (Mx:2457 Mn:2417),-,2406 (Mx:2411 Mn:2403),-,68.2,-,42.2,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Neem Ka Thana,2570 (Mx:2600 Mn:2550),2650 (Mx:2700 Mn:2625),-,-,2,3.9,-,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Niwai,2501 (Mx:2585 Mn:2415),2482 (Mx:2561 Mn:2450),2430 (Mx:2666 Mn:2310),-,17.9,5.6,34.8,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Palsana,2500 (Mx:2550 Mn:2450),2400 (Mx:2480 Mn:2300),2500 (Mx:2500 Mn:2450),-,4.1,12.1,9.9,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Raisingh Nagar,2620 (Mx:2625 Mn:2560),-,-,-,2,-,-,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Sadulpur,2300 (Mx:2400 Mn:2200),-,2200 (Mx:2300 Mn:2100),-,2.68,-,2.99,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Sambhar (Kishangarh renwal),2575 (Mx:2600 Mn:2550),-,2525 (Mx:2550 Mn:2500),2225 (Mx:2250 Mn:2200),24.5,-,7.4,6.7
Bajra(Pearl Millet/Cumbu),Rajasthan,Sangriya,2525 (Mx:2525 Mn:2525),-,2431 (Mx:2455 Mn:2430),-,1,-,2.1,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Sawai Madhopur,2470 (Mx:2495 Mn:2455),-,-,-,5.5,-,-,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Sri Madhopur,2570 (Mx:2631 Mn:2425),2500 (Mx:2600 Mn:2400),-,-,30,54.2,-,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Sriganganagar (Grain),2651 (Mx:2651 Mn:2593),-,2485 (Mx:2515 Mn:2460),-,1.7,-,28.9,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Sumerganj,2561 (Mx:2561 Mn:2561),2540 (Mx:2540 Mn:2540),2451 (Mx:2451 Mn:2451),-,0.2,0.1,0.1,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Suratgarh,2555 (Mx:2555 Mn:2555),-,2528 (Mx:2551 Mn:2515),-,0.3,-,14.5,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Tonk,2527 (Mx:2541 Mn:2507),2477 (Mx:2490 Mn:2454),2450 (Mx:2521 Mn:2420),-,1.2,2.2,1.2,-
Bajra(Pearl Millet/Cumbu),Rajasthan,Udaipur (Grain),2500 (Mx:2650 Mn:2300),2600 (Mx:2800 Mn:2400),-,-,0.6,28,-,-
Bajra(Pearl Millet/Cumbu),Tamil Nadu,Kallakurichi,2759 (Mx:2759 Mn:2759),-,-,-,0.15,-,-,-
Bajra(Pearl Millet/Cumbu),Tamil Nadu,Virudhachalam,2829 (Mx:2839 Mn:2811),-,-,-,4,-,-,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Achalda,2630 (Mx:2730 Mn:2530),2500 (Mx:2600 Mn:2400),2400 (Mx:2500 Mn:2300),-,3,4,4,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Achnera,2625 (Mx:2625 Mn:2625),2625 (Mx:2625 Mn:2625),2625 (Mx:2625 Mn:2550),2300 (Mx:2500 Mn:2260),15,2,20,180
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Agra,2625 (Mx:2625 Mn:2600),2625 (Mx:2625 Mn:2590),-,-,18,35,-,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Aliganj,2655 (Mx:2665 Mn:2650),-,2655 (Mx:2660 Mn:2650),-,4,-,4,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Aligarh,2430 (Mx:2450 Mn:2400),2410 (Mx:2430 Mn:2380),2400 (Mx:2420 Mn:2380),-,32,4,30,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Badayoun,2625 (Mx:2650 Mn:2600),2625 (Mx:2650 Mn:2600),2625 (Mx:2650 Mn:2600),-,34.4,125,162.5,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Bilsi,2625 (Mx:2650 Mn:2600),-,-,-,150,-,-,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Charra,2490 (Mx:2500 Mn:2480),2490 (Mx:2500 Mn:2480),2440 (Mx:2450 Mn:2430),-,20.8,20.5,20.5,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Choubepur,2625 (Mx:2650 Mn:2550),2625 (Mx:2650 Mn:2550),2625 (Mx:2630 Mn:2550),-,3,10,10,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Fatehabad,2625 (Mx:2625 Mn:2200),2625 (Mx:2625 Mn:2200),2625 (Mx:2625 Mn:2200),-,0.8,0.8,0.2,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Haathras,2450 (Mx:2500 Mn:2400),-,2410 (Mx:2460 Mn:2350),-,115,-,190,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Jagnair,2410 (Mx:2420 Mn:2400),2425 (Mx:2450 Mn:2400),-,-,70,12,-,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Kanpur(Grain),2625 (Mx:2675 Mn:2575),2625 (Mx:2675 Mn:2575),2625 (Mx:2675 Mn:2575),-,135,150,80,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Kishunpur,2220 (Mx:2240 Mn:2200),2220 (Mx:2240 Mn:2200),-,2250 (Mx:2300 Mn:2200),3,0.2,-,12.1
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Mathura,2625 (Mx:2625 Mn:2500),2625 (Mx:2625 Mn:2450),2625 (Mx:2625 Mn:2510),-,18,16,40,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Pukharayan,2630 (Mx:2635 Mn:2625),2635 (Mx:2640 Mn:2630),-,2210 (Mx:2220 Mn:2200),12,17,-,50
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Rura,2650 (Mx:2700 Mn:2600),-,-,-,7,-,-,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Sikandraraau,2625 (Mx:2625 Mn:2625),-,2625 (Mx:2625 Mn:2625),-,10,-,6,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Tundla,2365 (Mx:2375 Mn:2350),2425 (Mx:2450 Mn:2410),2425 (Mx:2475 Mn:2410),-,85,50,250,-
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Ujhani,2625 (Mx:2650 Mn:2600),-,2625 (Mx:2650 Mn:2600),2200 (Mx:2500 Mn:2150),170,-,1031.5,500
Bajra(Pearl Millet/Cumbu),Uttar Pradesh,Varipaal,2400 (Mx:2500 Mn:2350),-,-,-,28.7,-,-,-
Arhar (Tur/Red Gram)(Whole),Andhra Pradesh,Kurnool,7509 (Mx:7666 Mn:2971),6696 (Mx:7841 Mn:4609),-,-,326.1,160.4,-,-
Arhar (Tur/Red Gram)(Whole),Gujarat,Amreli,7475 (Mx:8030 Mn:5250),-,-,-,5.4,-,-,-
